WORKOUTID,TITLE,GENRES
112,Elements,No genre
115,Solace,No genre
116,The Core,No genre
119,Focus,No genre
125,New Frontiers,No genre
136,Fusion,No genre
138,Escape,No genre
155,Follow Through,No genre
156,Balance,No genre
157,The Present,Pop
159,Champion,No genre
161,Full Body Werk,No genre
167,Slow Burn,No genre
168,Fortify,No genre
169,Empowerment,No genre
175,Transform,Pop
176,Joy,Pop|R&B/Soul/Jazz
177,Just Move,No genre
181,Girl Power,Pop|Electronic
183,Monster,Hip Hop
195,Tough,Pop|Rock|Electronic
196,Power Jams,Pop|Hip Hop
197,Rapattack,Hip Hop
199,Perfect Day,Pop
200,Funout,Pop
212,Dive In,Pop|Rock
217,Out There,Pop
230,Balance,Pop
233,Rumble,Pop
244,Pros Only,Pop|Electronic|Hip Hop
246,Retrofit,Rock|R&B/Soul/Jazz
249,Fortify,Electronic|Hip Hop
253,Beginners Only,Pop
266,Superfreak,R&B/Soul/Jazz
269,Full Body Werk,Pop|Electronic
270,Freedom Rock,Rock
271,Peak Power,Rock
272,Follow Through,Pop|Hip Hop
275,Slow Burn,Pop
277,The Drop,Electronic
278,Slow Burn,Rock
279,Molten Rock,Rock
280,Pop Till You Drop,Pop
281,Rapattack,Hip Hop
282,Retrofit,Pop|Rock
283,Pool House,Electronic
284,Girl Power,Pop
285,Sustain,Electronic|Hip Hop
296,Monster,Rock
297,Rapattack,Hip Hop
299,Sweaty Flannel,Rock
300,Monster,No genre
303,Go Big,Pop
304,Pop Till You Punk,Rock
305,The Drop,Electronic
306,Retrofit,Pop|Rock
307,Just Dance,Pop|Electronic
308,The Turn Up,Pop
309,Fitness Journey,Pop|Hip Hop
312,The Drop,Pop|Electronic
313,Slow Burn,Electronic
315,Superfreak,R&B/Soul/Jazz
316,Move It,Pop
317,Pride,No genre
318,Skinny Jeans and Ripped Seams,Rock
319,Flow,Pop
326,Incline,Pop|R&B/Soul/Jazz
327,Freedom Rock,Rock
328,Slow Burn,Pop|Rock
329,Slow Burn,Rock
330,Slow Burn,Pop
334,Work It,Hip Hop
335,Mood Booster,Rock
336,Pep It Up,Pop|R&B/Soul/Jazz
338,Heat,Rock
339,Glutacious,Pop|Electronic
340,"Pump, You Up 90s",Rock|Electronic
341,Punk You,Rock
344,Guilty Pleasures,Rock
347,Girl Power,R&B/Soul/Jazz
348,Just Dance,Pop
349,Monster,Rock
351,The Drop,Electronic
353,Power,Rock|Electronic
354,Slow Burn,R&B/Soul/Jazz
356,Strut,No genre
357,Skinny Jeans and Ripped Seams,Rock
358,Pool House,Electronic
362,Rock Hard,Rock
364,Y2K Babyyy,Pop|Hip Hop
366,Mood Booster,R&B/Soul/Jazz
370,Slow Burn,Rock
371,Flow: Getting Started,Pop|R&B/Soul/Jazz
372,Rapattack,Hip Hop
373,Skinny Jeans and Ripped Seams,Rock
374,"Pump, You Up 90s",Electronic
375,Mood Booster,Pop|Rock|R&B/Soul/Jazz
379,Retrofit,Pop|Rock
381,Freedom Rock,Rock
383,Hip Hop You Don't Stop,Hip Hop
384,Pop Till You Punk,Rock
385,Smooth Sailing,Rock
386,Slow Burn,Rock
388,Monster,Electronic
389,Pop Till You Drop,Pop
390,Just Dance,R&B/Soul/Jazz
392,Sweaty Flannel,Rock
396,Dark Forces,Electronic
397,Break Stuff,Rock|Electronic
408,Slow Burn,Rock
410,Mood Booster,Pop
411,Monster,Hip Hop
423,Take the Stage,Rock
424,Hair Brained,Rock
425,Summer,Pop|Electronic
426,The Drop,Electronic
427,A Call To Arms,Rock|Hip Hop
430,Flow,Pop
438,Quick Hits,Rock
445,Prom Night,Pop|Rock
449,Guilty Pleasures,Rock
